06/10/12,"Northwestern",28,"Penn State",39
06/10/12,"Kent State",41,"Eastern Michigan",14
06/10/12,"Connecticut",3,"Rutgers",19
06/10/12,"Florida State",16,"No Carolina State",17
06/10/12,"Massachusetts",14,"Western Michigan",52
06/10/12,"Vanderbilt",19,"Missouri",15
06/10/12,"Texas A+M",30,"Mississippi",27
06/10/12,"Virginia Tech",34,"North Carolina",48
06/10/12,"Washington",21,"Oregon",52
06/10/12,"Georgia",7,"South Carolina",35
06/10/12,"West Virginia",48,"Texas",45
06/10/12,"Iowa State",37,"Texas Christian",23
06/10/12,"Illinois",14,"Wisconsin",31
06/10/12,"Kansas",16,"Kansas State",56
06/10/12,"U.C.L.A.",17,"California",43
06/10/12,"Arkansas",24,"Auburn",7
06/10/12,"Michigan",44,"Purdue",13
06/10/12,"Wyoming",28,"Nevada-Reno",35
06/10/12,"New Mexico State",18,"Idaho",26
06/10/12,"Arizona",48,"Stanford",54
06/10/12,"Oklahoma",41,"Texas Tech",20
06/10/12,"Central Michigan",35,"Toledo",50
06/10/12,"Boise State",40,"Southern Miss",14
06/10/12,"Rice",10,"Memphis",14
06/10/12,"Wake Forest",14,"Maryland",19
06/10/12,"Mississippi State",27,"Kentucky",14
06/10/12,"Washington State",6,"Oregon State",19
06/10/12,"Nevada-Las Vegas",31,"Louisiana Tech",58
06/10/12,"Tulsa",45,"Marshall",38
06/10/12,"Miami-Florida",3,"Notre Dame",41
06/10/12,"Buffalo",31,"Ohio",38
06/10/12,"Nebraska",38,"Ohio State",63
06/10/12,"Hawaii",14,"San Diego State",52
06/10/12,"Fresno State",28,"Colorado State",7
06/10/12,"Louisiana State",6,"Florida",14
06/10/12,"Texas State",14,"New Mexico",35
06/10/12,"S-M-U",17,"UTEP",0
06/10/12,"Tulane",13,"UL-Lafayette",41
06/10/12,"UL-Monroe",31,"Middle Tennessee",17
06/10/12,"North Texas",21,"Houston",44
06/10/12,"S E Louisiana",3,"U-A-B",52
11/10/12,"Arizona State",51,"Colorado",17
11/10/12,"UTEP",11,"Tulsa",33
11/10/12,"Western Kentucky",31,"Troy",26
12/10/12,"Navy",31,"Central Michigan",13
13/10/12,"Texas",21,"Oklahoma",63
13/10/12,"Iowa",19,"Michigan State",16
13/10/12,"North Carolina",18,"Miami-Florida",14
13/10/12,"Miami-Ohio",12,"Bowling Green",37
13/10/12,"Kent State",31,"Army",17
13/10/12,"Akron",28,"Ohio",34
13/10/12,"Toledo",52,"Eastern Michigan",47
13/10/12,"Maryland",27,"Virginia",20
13/10/12,"Duke",20,"Virginia Tech",41
13/10/12,"Wisconsin",38,"Purdue",14
13/10/12,"Northwestern",21,"Minnesota",13
13/10/12,"Syracuse",15,"Rutgers",23
13/10/12,"Boston College",7,"Florida State",51
13/10/12,"Temple",17,"Connecticut",14
13/10/12,"Louisville",45,"Pittsburgh",35
13/10/12,"Memphis",7,"East Carolina",41
13/10/12,"Florida",31,"Vanderbilt",17
13/10/12,"Air Force",28,"Wyoming",27
13/10/12,"Western Michigan",24,"Ball State",30
13/10/12,"Buffalo",3,"Northern Illinois",45
13/10/12,"Idaho",7,"Texas State",38
13/10/12,"Kansas State",27,"Iowa State",21
13/10/12,"Auburn",20,"Mississippi",41
13/10/12,"U-A-B",17,"Houston",39
13/10/12,"Illinois",0,"Michigan",45
13/10/12,"Fresno State",10,"Boise State",20
13/10/12,"Southern Cal",24,"Washington",14
13/10/12,"Oregon State",42,"Brigham Young",24
13/10/12,"Alabama",42,"Missouri",10
13/10/12,"Stanford",13,"Notre Dame",20
13/10/12,"Utah State",49,"San Jose State",27
13/10/12,"Kentucky",7,"Arkansas",49
13/10/12,"Tennessee",31,"Mississippi State",41
13/10/12,"South Carolina",21,"Louisiana State",23
13/10/12,"California",31,"Washington State",17
13/10/12,"West Virginia",14,"Texas Tech",49
13/10/12,"Texas Christian",49,"Baylor",21
13/10/12,"Southern Miss",31,"U-C-F",38
13/10/12,"Oklahoma State",20,"Kansas",14
13/10/12,"Ohio State",52,"Indiana",49
13/10/12,"S-M-U",26,"Tulane",27
13/10/12,"Texas-San Antonio",14,"Rice",34
13/10/12,"Nevada-Reno",42,"Nevada-Las Vegas",37
13/10/12,"Colorado State",14,"San Diego State",38
13/10/12,"Utah",14,"U.C.L.A.",21
13/10/12,"New Mexico",35,"Hawaii",23
13/10/12,"Florida Atlantic",14,"UL-Monroe",35
13/10/12,"South Alabama",29,"Arkansas State",36
13/10/12,"Middle Tennessee",34,"Florida Intl",30
13/10/12,"Texas A+M",59,"Louisiana Tech",57
13/10/12,"Fordham",17,"Cincinnati",49
16/10/12,"UL-Lafayette",23,"North Texas",30
18/10/12,"Oregon",43,"Arizona State",21
18/10/12,"Houston",42,"S-M-U",72
19/10/12,"Connecticut",10,"Syracuse",40
20/10/12,"Nebraska",29,"Northwestern",28
20/10/12,"Minnesota",13,"Wisconsin",38
20/10/12,"Army",38,"Eastern Michigan",48
20/10/12,"Ball State",41,"Central Michigan",30
20/10/12,"Bowling Green",24,"Massachusetts",0
20/10/12,"Northern Illinois",37,"Akron",7
20/10/12,"Georgia",29,"Kentucky",24
20/10/12,"Wake Forest",16,"Virginia",10
20/10/12,"North Carolina",30,"Duke",33
20/10/12,"No Carolina State",20,"Maryland",18
20/10/12,"Cincinnati",23,"Toledo",29
20/10/12,"Boston College",17,"Georgia Tech",37
20/10/12,"Rutgers",35,"Temple",10
20/10/12,"New Mexico",23,"Air Force",28
20/10/12,"San Jose State",52,"Texas-San Antonio",24
20/10/12,"New Mexico State",7,"Utah State",41
20/10/12,"Virginia Tech",17,"Clemson",38
20/10/12,"Nevada-Las Vegas",7,"Boise State",32
20/10/12,"Brigham Young",14,"Notre Dame",17
20/10/12,"Alabama",44,"Tennessee",13
20/10/12,"Stanford",21,"California",3
20/10/12,"Washington",17,"Arizona",52
20/10/12,"Purdue",22,"Ohio State",29
20/10/12,"Michigan State",10,"Michigan",12
20/10/12,"Indiana",30,"Navy",31
20/10/12,"Texas Tech",56,"Texas Christian",53
20/10/12,"Colorado",6,"Southern Cal",50
20/10/12,"Florida State",33,"Miami-Florida",20
20/10/12,"Utah",7,"Oregon State",21
20/10/12,"Kansas State",55,"West Virginia",14
20/10/12,"Louisiana State",24,"Texas A+M",19
20/10/12,"South Carolina",11,"Florida",44
20/10/12,"Auburn",13,"Vanderbilt",17
20/10/12,"Western Michigan",24,"Kent State",41
20/10/12,"Marshall",59,"Southern Miss",24
20/10/12,"U-C-F",35,"Memphis",17
20/10/12,"South Florida",25,"Louisville",27
20/10/12,"Idaho",28,"Louisiana Tech",70
20/10/12,"Iowa State",10,"Oklahoma State",31
20/10/12,"Kansas",7,"Oklahoma",52
20/10/12,"Baylor",50,"Texas",56
20/10/12,"Pittsburgh",20,"Buffalo",6
20/10/12,"East Carolina",42,"U-A-B",35
20/10/12,"Penn State",38,"Iowa",14
20/10/12,"Rice",24,"Tulsa",28
20/10/12,"Tulane",20,"UTEP",24
20/10/12,"Wyoming",14,"Fresno State",42
20/10/12,"San Diego State",39,"Nevada-Reno",38
20/10/12,"UL-Monroe",43,"Western Kentucky",42
20/10/12,"Middle Tennessee",3,"Mississippi State",45
20/10/12,"Florida Intl",37,"Troy",38
20/10/12,"Florida Atlantic",34,"South Alabama",37
23/10/12,"Arkansas State",50,"UL-Lafayette",27
25/10/12,"Clemson",42,"Wake Forest",13
26/10/12,"Cincinnati",31,"Louisville",34
26/10/12,"Nevada-Reno",31,"Air Force",48
27/10/12,"Navy",56,"East Carolina",28
27/10/12,"Massachusetts",7,"Vanderbilt",49
27/10/12,"Ohio",20,"Miami-Ohio",23
27/10/12,"Ball State",30,"Army",22
27/10/12,"Akron",14,"Central Michigan",35
27/10/12,"Eastern Michigan",3,"Bowling Green",24
27/10/12,"Northern Illinois",48,"Western Michigan",34
27/10/12,"Temple",17,"Pittsburgh",47
27/10/12,"Indiana",31,"Illinois",17
27/10/12,"Purdue",28,"Minnesota",44
27/10/12,"Iowa",17,"Northwestern",28
27/10/12,"Duke",7,"Florida State",48
27/10/12,"Maryland",17,"Boston College",20
27/10/12,"Mississippi State",7,"Alabama",38
27/10/12,"Utah State",48,"Texas-San Antonio",17
27/10/12,"Hawaii",27,"Colorado State",42
27/10/12,"Baylor",21,"Iowa State",35
27/10/12,"Texas A+M",63,"Auburn",21
27/10/12,"California",27,"Utah",49
27/10/12,"Texas",21,"Kansas",17
27/10/12,"Michigan State",16,"Wisconsin",13
27/10/12,"Colorado",14,"Oregon",70
27/10/12,"No Carolina State",35,"North Carolina",43
27/10/12,"Boise State",45,"Wyoming",14
27/10/12,"UTEP",35,"Houston",45
27/10/12,"Brigham Young",41,"Georgia Tech",17
27/10/12,"Florida",9,"Georgia",17
27/10/12,"Kentucky",10,"Missouri",33
27/10/12,"U.C.L.A.",45,"Arizona State",43
27/10/12,"Southern Cal",36,"Arizona",39
27/10/12,"Kent State",35,"Rutgers",23
27/10/12,"Texas State",20,"San Jose State",31
27/10/12,"Washington State",17,"Stanford",24
27/10/12,"Ohio State",35,"Penn State",23
27/10/12,"Oregon State",17,"Washington",20
27/10/12,"Texas Tech",24,"Kansas State",55
27/10/12,"Syracuse",37,"South Florida",36
27/10/12,"Texas Christian",14,"Oklahoma State",36
27/10/12,"U-C-F",54,"Marshall",17
27/10/12,"Toledo",25,"Buffalo",20
27/10/12,"Tennessee",35,"South Carolina",38
27/10/12,"Mississippi",30,"Arkansas",27
27/10/12,"Louisiana Tech",28,"New Mexico State",14
27/10/12,"Notre Dame",30,"Oklahoma",13
27/10/12,"U-A-B",45,"Tulane",55
27/10/12,"Memphis",13,"S-M-U",44
27/10/12,"Southern Miss",17,"Rice",44
27/10/12,"Michigan",9,"Nebraska",23
27/10/12,"Nevada-Las Vegas",13,"San Diego State",24
27/10/12,"Fresno State",49,"New Mexico",32
27/10/12,"South Alabama",24,"UL-Monroe",38
27/10/12,"Western Kentucky",14,"Florida Intl",6
27/10/12,"North Texas",21,"Middle Tennessee",38
27/10/12,"Troy",27,"Florida Atlantic",34
01/11/12,"Eastern Michigan",14,"Ohio",45
01/11/12,"Virginia Tech",12,"Miami-Florida",30
01/11/12,"Middle Tennessee",34,"Western Kentucky",29
02/11/12,"Washington",21,"California",13
03/11/12,"Penn State",34,"Purdue",9
03/11/12,"Air Force",21,"Army",41
03/11/12,"Akron",24,"Kent State",35
03/11/12,"Vanderbilt",40,"Kentucky",0
03/11/12,"Massachusetts",0,"Northern Illinois",63
03/11/12,"Temple",17,"Louisville",45
03/11/12,"Boston College",14,"Wake Forest",28
03/11/12,"Houston",28,"East Carolina",48
03/11/12,"Iowa",21,"Indiana",24
03/11/12,"Georgia Tech",33,"Maryland",13
03/11/12,"Clemson",56,"Duke",20
03/11/12,"Tulsa",15,"Arkansas",19
03/11/12,"New Mexico State",7,"Auburn",42
03/11/12,"Stanford",48,"Colorado",0
03/11/12,"Texas State",7,"Utah State",38
03/11/12,"Alabama",21,"Louisiana State",17
03/11/12,"Colorado State",31,"Wyoming",45
03/11/12,"Virginia",33,"No Carolina State",6
03/11/12,"Arizona State",26,"Oregon State",36
